Visibility,DATE,Date hour,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyWindSpeed,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageWindSpeed,DailyPrecipitation,HourlyPresentWeatherType,Weather Forecast,HourlyVisibility
Poor,1/3/2015 7:51:00 PM,1/3/2015 7:00:00 PM,36,39,0.11,6,,,,,-RA:02 BR:1 |RA |,Light Rain,2
Moderate,1/3/2015 8:34:00 PM,1/3/2015 8:00:00 PM,36,39,0.01,7,,,,,-RA:02 BR:1 |RA |,Light Rain,3
Moderate,1/3/2015 8:49:00 PM,1/3/2015 8:00:00 PM,37,39,,9,,,,,-RA:02 BR:1 |RA |,Light Rain,2.5
Moderate,1/3/2015 8:51:00 PM,1/3/2015 8:00:00 PM,37,40,0.03,9,,,,,-RA:02 BR:1 |RA |,Light Rain,2.5
Moderate,1/3/2015 8:59:00 PM,1/3/2015 8:00:00 PM,37,40,T,5,,,,,-RA:02 BR:1 |RA |,Light Rain,3
Moderate,1/3/2015 9:10:00 PM,1/3/2015 9:00:00 PM,37,40,0.01,6,,,,,-RA:02 BR:1 |RA |,Light Rain,2.5
Moderate,1/3/2015 9:38:00 PM,1/3/2015 9:00:00 PM,37,40,0.05,8,,,,,-RA:02 BR:1 |RA |,Light Rain,4
Moderate,1/3/2015 9:51:00 PM,1/3/2015 9:00:00 PM,38,40,0.06,8,,,,,-RA:02 BR:1 |RA |,Light Rain,3
Poor,1/3/2015 10:14:00 PM,1/3/2015 10:00:00 PM,38,41,0.02,6,,,,,-RA:02 BR:1 |RA |,Light Rain,2
Moderate,1/3/2015 10:51:00 PM,1/3/2015 10:00:00 PM,38,41,0.05,7,,,,,BR:1 ||,Clear,2.5
Moderate,1/3/2015 11:08:00 PM,1/3/2015 11:00:00 PM,38,41,T,8,,,,,BR:1 ||,Clear,4
Poor,1/3/2015 11:29:00 PM,1/3/2015 11:00:00 PM,39,41,0.01,8,,,,,BR:1 ||,Clear,2
Moderate,1/3/2015 11:49:00 PM,1/3/2015 11:00:00 PM,39,43,,10,,,,,-RA:02 BR:1 |RA |,Light Rain,3
Moderate,1/3/2015 11:51:00 PM,1/3/2015 11:00:00 PM,39,42,0.04,7,,,,,-RA:02 BR:1 |RA |,Light Rain,3
Good,1/3/2015 11:59:00 PM,1/3/2015 11:00:00 PM,,,,,26,38,6.4,0.71,,Clear,
Moderate,1/4/2015 12:11:00 AM,1/4/2015 12:00:00 AM,39,42,0.05,7,,,,,RA:02 BR:1 |RA |,Moderate Rain,2.5
Moderate,1/4/2015 12:39:00 AM,1/4/2015 12:00:00 AM,40,42,0.15,5,,,,,-RA:02 BR:1 |RA |,Light Rain,3
Moderate,1/4/2015 12:51:00 AM,1/4/2015 12:00:00 AM,40,42,0.15,3,,,,,-RA:02 BR:1 |RA |,Light Rain,5
Moderate,1/4/2015 1:35:00 AM,1/4/2015 1:00:00 AM,41,43,0.02,5,,,,,-RA:02 BR:1 |RA |,Light Rain,2.5
Moderate,1/4/2015 1:51:00 AM,1/4/2015 1:00:00 AM,41,43,0.01,3,,,,,-RA:02 BR:1 |RA |,Light Rain,2.5
Moderate,1/4/2015 2:02:00 AM,1/4/2015 2:00:00 AM,41,43,T,5,,,,,BR:1 ||,Clear,3
Poor,1/4/2015 2:22:00 AM,1/4/2015 2:00:00 AM,40,43,T,3,,,,,-RA:02 BR:1 |RA |,Light Rain,2
Poor,1/4/2015 2:29:00 AM,1/4/2015 2:00:00 AM,41,43,0.01,0,,,,,-RA:02 BR:1 |RA |,Light Rain,1.5
Poor,1/4/2015 2:51:00 AM,1/4/2015 2:00:00 AM,40,43,0.01,3,,,,,BR:1 ||,Clear,1.25
Moderate,1/4/2015 3:08:00 AM,1/4/2015 3:00:00 AM,41,43,,0,,,,,BR:1 ||,Clear,2.5
Fog,1/4/2015 3:28:00 AM,1/4/2015 3:00:00 AM,40,42,,0,,,,,BR:1 ||,Clear,0.75
Poor,1/4/2015 3:40:00 AM,1/4/2015 3:00:00 AM,40,42,,0,,,,,BR:1 ||,Clear,1.25
Poor,1/4/2015 3:51:00 AM,1/4/2015 3:00:00 AM,40,41,0.00,0,,,,,BR:1 ||,Clear,1.5
Fog,1/4/2015 4:12:00 AM,1/4/2015 4:00:00 AM,40,42,,0,,,,,BR:1 ||,Clear,0.75
Poor,1/4/2015 4:20:00 AM,1/4/2015 4:00:00 AM,40,42,,0,,,,,BR:1 ||,Clear,2
Poor,1/4/2015 4:35:00 AM,1/4/2015 4:00:00 AM,39,41,,0,,,,,BR:1 ||,Clear,1.5
Moderate,1/4/2015 4:44:00 AM,1/4/2015 4:00:00 AM,40,42,,3,,,,,BR:1 ||,Clear,2.5
Moderate,1/4/2015 4:51:00 AM,1/4/2015 4:00:00 AM,40,42,0.00,0,,,,,BR:1 ||,Clear,3
Moderate,1/4/2015 5:00:00 AM,1/4/2015 5:00:00 AM,41,43,,3,,,,,BR:1 ||,Clear,2.5
Moderate,1/4/2015 5:09:00 AM,1/4/2015 5:00:00 AM,42,45,,6,,,,,BR:1 ||,Clear,3
Moderate,1/4/2015 5:22:00 AM,1/4/2015 5:00:00 AM,42,44,T,5,,,,,-RA:02 BR:1 |RA |,Light Rain,4
Moderate,1/4/2015 5:51:00 AM,1/4/2015 5:00:00 AM,43,45,0.01,7,,,,,-RA:02 BR:1 |RA |,Light Rain,5
Good,1/4/2015 6:51:00 AM,1/4/2015 6:00:00 AM,42,45,T,6,,,,,,Clear,9
Good,1/4/2015 7:51:00 AM,1/4/2015 7:00:00 AM,41,44,0.04,8,,,,,,Clear,8
Good,1/4/2015 8:51:00 AM,1/4/2015 8:00:00 AM,41,45,T,6,,,,,,Clear,10
Good,1/4/2015 9:01:00 AM,1/4/2015 9:00:00 AM,41,45,T,0,,,,,-RA:02 |RA |,Light Rain,7
Good,1/4/2015 9:44:00 AM,1/4/2015 9:00:00 AM,43,46,T,5,,,,,,Clear,10
Good,1/4/2015 9:51:00 AM,1/4/2015 9:00:00 AM,43,46,T,5,,,,,,Clear,10
Good,1/4/2015 10:36:00 AM,1/4/2015 10:00:00 AM,44,47,0.01,5,,,,,,Clear,10
Good,1/4/2015 10:51:00 AM,1/4/2015 10:00:00 AM,44,47,0.01,7,,,,,,Clear,10
Good,1/4/2015 11:51:00 AM,1/4/2015 11:00:00 AM,47,50,0.00,8,,,,,,Clear,10
Good,1/4/2015 12:22:00 PM,1/4/2015 12:00:00 PM,47,49,,7,,,,,BR:1 ||,Clear,6
Good,1/4/2015 12:43:00 PM,1/4/2015 12:00:00 PM,48,51,,9,,,,,,Clear,7
Good,1/4/2015 12:49:00 PM,1/4/2015 12:00:00 PM,46,50,,8,,,,,BR:1 ||,Clear,6
Moderate,1/4/2015 12:51:00 PM,1/4/2015 12:00:00 PM,47,50,0.00,8,,,,,BR:1 ||,Clear,5
Moderate,1/4/2015 1:51:00 PM,1/4/2015 1:00:00 PM,48,50,0.00,5,,,,,BR:1 ||,Clear,5
Good,1/4/2015 2:13:00 PM,1/4/2015 2:00:00 PM,48,51,,3,,,,,,Clear,7
Good,1/4/2015 2:51:00 PM,1/4/2015 2:00:00 PM,49,52,0.00,8,,,,,,Clear,9
Good,1/4/2015 3:22:00 PM,1/4/2015 3:00:00 PM,49,53,,8,,,,,,Clear,10
Good,1/4/2015 3:51:00 PM,1/4/2015 3:00:00 PM,49,54,0.00,,,,,,,Clear,10
Good,1/4/2015 4:51:00 PM,1/4/2015 4:00:00 PM,50,55,0.00,7,,,,,,Clear,10
Good,1/4/2015 5:51:00 PM,1/4/2015 5:00:00 PM,50,55,0.00,5,,,,,,Clear,10
Good,1/4/2015 6:30:00 PM,1/4/2015 6:00:00 PM,50,56,,7,,,,,,Clear,10
Good,1/4/2015 6:39:00 PM,1/4/2015 6:00:00 PM,50,55,,5,,,,,,Clear,10
Good,1/4/2015 6:51:00 PM,1/4/2015 6:00:00 PM,50,55,0.00,7,,,,,,Clear,10
Moderate,1/4/2015 7:51:00 PM,1/4/2015 7:00:00 PM,50,53,0.02,6,,,,,-RA:02 BR:1 |RA |,Light Rain,5
Good,1/4/2015 8:18:00 PM,1/4/2015 8:00:00 PM,50,53,0.01,7,,,,,-RA:02 BR:1 |RA |,Light Rain,6
Good,1/4/2015 8:51:00 PM,1/4/2015 8:00:00 PM,48,53,0.04,5,,,,,-RA:02 |RA |,Light Rain,8
Good,1/4/2015 9:51:00 PM,1/4/2015 9:00:00 PM,45,52,0.01,8,,,,,-RA:02 |RA |,Light Rain,10
Good,1/4/2015 10:51:00 PM,1/4/2015 10:00:00 PM,38,51,T,14,,,,,,Clear,10
Good,1/4/2015 11:51:00 PM,1/4/2015 11:00:00 PM,27,50,0.00,18,,,,,,Clear,10
Good,1/4/2015 11:59:00 PM,1/4/2015 11:00:00 PM,,,,,44,49,6.4,0.3,,Clear,
Good,1/5/2015 12:51:00 AM,1/5/2015 12:00:00 AM,26,47,0.00,10,,,,,,Clear,10
Good,1/5/2015 1:51:00 AM,1/5/2015 1:00:00 AM,27,46,0.00,,,,,,,Clear,10
Good,1/5/2015 2:51:00 AM,1/5/2015 2:00:00 AM,26,44,0.00,10,,,,,,Clear,10
Good,1/5/2015 3:51:00 AM,1/5/2015 3:00:00 AM,24,43,0.00,13,,,,,,Clear,10
Good,1/5/2015 4:51:00 AM,1/5/2015 4:00:00 AM,24,42,0.00,9,,,,,,Clear,10
Good,1/5/2015 5:51:00 AM,1/5/2015 5:00:00 AM,23,41,0.00,16,,,,,,Clear,10
Good,1/5/2015 6:51:00 AM,1/5/2015 6:00:00 AM,18,41,0.00,13,,,,,,Clear,10
Good,1/5/2015 7:51:00 AM,1/5/2015 7:00:00 AM,16,39,0.00,15,,,,,,Clear,10
Good,1/5/2015 8:51:00 AM,1/5/2015 8:00:00 AM,16,39,0.00,14,,,,,,Clear,10
Good,1/5/2015 9:51:00 AM,1/5/2015 9:00:00 AM,15,38,0.00,7,,,,,,Clear,10
Good,1/5/2015 10:51:00 AM,1/5/2015 10:00:00 AM,3,36,0.00,16,,,,,,Clear,10
Good,1/5/2015 11:51:00 AM,1/5/2015 11:00:00 AM,5,36,0.00,7,,,,,,Clear,10
Good,1/5/2015 12:51:00 PM,1/5/2015 12:00:00 PM,6,36,0.00,9,,,,,,Clear,10
Good,1/5/2015 1:51:00 PM,1/5/2015 1:00:00 PM,4,36,0.00,,,,,,,Clear,10
Good,1/5/2015 2:51:00 PM,1/5/2015 2:00:00 PM,3,34,0.00,7,,,,,,Clear,10
Good,1/5/2015 3:51:00 PM,1/5/2015 3:00:00 PM,7,33,0.00,15,,,,,,Clear,10
Good,1/5/2015 4:51:00 PM,1/5/2015 4:00:00 PM,1,32,0.00,10,,,,,,Clear,10
Good,1/5/2015 5:51:00 PM,1/5/2015 5:00:00 PM,5,30,0.00,14,,,,,,Clear,10
Good,1/5/2015 6:51:00 PM,1/5/2015 6:00:00 PM,1,29,0.00,9,,,,,,Clear,10
Good,1/5/2015 7:51:00 PM,1/5/2015 7:00:00 PM,-3,27,0.00,11,,,,,,Clear,10
Good,1/5/2015 8:51:00 PM,1/5/2015 8:00:00 PM,2,25,0.00,3,,,,,,Clear,10
Good,1/5/2015 9:51:00 PM,1/5/2015 9:00:00 PM,0,23,0.00,6,,,,,,Clear,10
Good,1/5/2015 10:51:00 PM,1/5/2015 10:00:00 PM,0,22,0.00,8,,,,,,Clear,10
Good,1/5/2015 11:51:00 PM,1/5/2015 11:00:00 PM,-1,22,0.00,7,,,,,,Clear,10
Good,1/5/2015 11:59:00 PM,1/5/2015 11:00:00 PM,,,,,10,35,10.5,0,,Clear,
Good,1/6/2015 12:51:00 AM,1/6/2015 12:00:00 AM,-3,21,0.00,10,,,,,,Clear,10
Good,1/6/2015 1:51:00 AM,1/6/2015 1:00:00 AM,-2,20,0.00,3,,,,,,Clear,10
Good,1/6/2015 2:51:00 AM,1/6/2015 2:00:00 AM,-2,20,0.00,7,,,,,,Clear,10
Good,1/6/2015 3:51:00 AM,1/6/2015 3:00:00 AM,-2,20,0.00,7,,,,,,Clear,10
Good,1/6/2015 4:51:00 AM,1/6/2015 4:00:00 AM,-2,20,0.00,5,,,,,,Clear,10
Good,1/6/2015 5:51:00 AM,1/6/2015 5:00:00 AM,-2,19,0.00,0,,,,,,Clear,10
Good,1/6/2015 6:51:00 AM,1/6/2015 6:00:00 AM,0,20,0.00,9,,,,,,Clear,10
Good,1/6/2015 7:51:00 AM,1/6/2015 7:00:00 AM,0,20,0.00,3,,,,,,Clear,10
Poor,1/6/2015 8:39:00 AM,1/6/2015 8:00:00 AM,7,19,T,0,,,,,-SN:03 |SN |,Light Snow,1.75
Poor,1/6/2015 8:49:00 AM,1/6/2015 8:00:00 AM,7,19,,3,,,,,-SN:03 |SN |,Light Snow,1.25
Poor,1/6/2015 8:51:00 AM,1/6/2015 8:00:00 AM,7,19,T,0,,,,,-SN:03 |SN |,Light Snow,1.25
Fog,1/6/2015 9:26:00 AM,1/6/2015 9:00:00 AM,11,19,0.01,0,,,,,-SN:03 |SN |,Light Snow,0.75
Fog,1/6/2015 9:51:00 AM,1/6/2015 9:00:00 AM,13,19,0.02,0,,,,,-SN:03 |SN |,Light Snow,0.75
Poor,1/6/2015 10:14:00 AM,1/6/2015 10:00:00 AM,12,20,T,0,,,,,-SN:03 |SN |,Light Snow,1.5
Poor,1/6/2015 10:22:00 AM,1/6/2015 10:00:00 AM,12,19,T,0,,,,,-SN:03 |SN |,Light Snow,1.25
Fog,1/6/2015 10:35:00 AM,1/6/2015 10:00:00 AM,14,20,0.01,0,,,,,SN:03 |SN s |,Moderate Snow,0.5
Fog,1/6/2015 10:51:00 AM,1/6/2015 10:00:00 AM,14,20,0.02,0,,,,,+SN:03 |SN s |,Heavy Snow,0.25
Fog,1/6/2015 11:36:00 AM,1/6/2015 11:00:00 AM,12,20,0.01,7,,,,,SN:03 |SN s |,Moderate Snow,0.5
Fog,1/6/2015 11:51:00 AM,1/6/2015 11:00:00 AM,12,20,0.01,3,,,,,-SN:03 |SN |,Light Snow,0.75
Poor,1/6/2015 11:58:00 AM,1/6/2015 11:00:00 AM,12,20,T,10,,,,,-SN:03 |SN |,Light Snow,1
Poor,1/6/2015 12:30:00 PM,1/6/2015 12:00:00 PM,12,20,T,8,,,,,-SN:03 |SN |,Light Snow,1
Poor,1/6/2015 12:38:00 PM,1/6/2015 12:00:00 PM,13,21,T,0,,,,,-SN:03 |SN |,Light Snow,1
Poor,1/6/2015 12:51:00 PM,1/6/2015 12:00:00 PM,13,21,T,5,,,,,-SN:03 |SN |,Light Snow,1.75
Poor,1/6/2015 1:01:00 PM,1/6/2015 1:00:00 PM,12,21,T,6,,,,,-SN:03 |SN |,Light Snow,2
Moderate,1/6/2015 1:20:00 PM,1/6/2015 1:00:00 PM,11,21,,,,,,,HZ:7 ||HZ,Clear,3
Moderate,1/6/2015 1:44:00 PM,1/6/2015 1:00:00 PM,12,21,T,8,,,,,HZ:7 |FU |HZ,Fog,3
Moderate,1/6/2015 1:51:00 PM,1/6/2015 1:00:00 PM,10,21,T,9,,,,,HZ:7 |FU |HZ,Fog,4
Moderate,1/6/2015 2:09:00 PM,1/6/2015 2:00:00 PM,11,21,,7,,,,,HZ:7 |FU |HZ,Fog,2.5
Moderate,1/6/2015 2:17:00 PM,1/6/2015 2:00:00 PM,11,21,,5,,,,,HZ:7 |FU |HZ,Fog,3
Good,1/6/2015 2:51:00 PM,1/6/2015 2:00:00 PM,12,22,0.00,0,,,,,,Clear,7
Good,1/6/2015 3:51:00 PM,1/6/2015 3:00:00 PM,12,21,0.00,3,,,,,HZ:7 |FU |HZ,Fog,6
Moderate,1/6/2015 4:51:00 PM,1/6/2015 4:00:00 PM,13,21,0.00,5,,,,,HZ:7 |FU |HZ,Fog,4
